f_energy_wavnum,f_energy_Hz,channel,gf,fb,symbol,calsym,gf_f,fb_f
67842.06,2033853792318348.0,7,-0.0125871,0.00914649,8p3P1,2o:6,3.2649369373548816e-05,5.746601809334803e-06
68059.39,2040369181808062.0,8,0.257536,-0.463707,8p1P1,2o:7,0.0137116067737987,0.0148176218412469
69320.9,2078188300177220.0,9,0.00918134,-0.000953006,9p3P1,2o:8,1.775009732886679e-05,6.37468329570297e-08
69439.13,2081732746408154.5,10,0.180562,-0.254959,9p1P1,2o:9,0.0068767207622285,0.0045703358570092
70195.7,2104414144403060.0,11,-0.00701642,-0.0015988,10p3P1,2o:10,1.0497021106055424e-05,1.816778322175867e-07
70267.37,2106562756949544.8,12,0.136768,-0.166115,10p1P1,2o:11,0.0039925199664504,0.0019632452291535
30656.09,919046457376922.0,1,0.147136,-0.12851,5p3P1,2o:0,0.0020159467599859,0.0005126178920329
43692.38,1309864599607004.0,2,3.463518,-3.97666,5p1P1,2o:1,1.5920804363128294,0.6995935144458035
58461.6,1752634676261280.0,3,0.009921,0.517303,6p3P1,2o:2,1.7478574175995504e-05,0.0158403160320649
59907.28,1795975072329423.8,4,-0.73677,-5.40266,6p1P1,2o:3,0.0987797390997144,1.7705085451364508
65025.5,1949415447767900.0,5,-0.00203,-0.13284,7p3P1,2o:4,8.139545995846276e-07,0.0011618353467714
65501.41,1963682870636578.0,6,0.326994,1.523744,7p1P1,2o:5,0.0212742678150016,0.1539847870247963
